Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1208879,,7.8,9.0,,,,9.75,9.0,9.0,,,6.0,N1,Ha Tinh
HT1208697,,8.0,9.0,4.5,3.75,3.75,,,,,,6.0,N1,Ha Tinh
HT1210691,,7.8,9.0,,,,6.75,8.25,7.75,,,7.0,N1,Ha Tinh
HT1209724,,7.6,8.75,,,,6.25,7.0,8.5,,,8.2,N1,Ha Tinh
HT1213236,,9.0,8.75,,,,4.0,6.0,7.0,,,8.6,N1,Ha Tinh
HT1216595,,9.4,8.75,,,,7.25,8.25,7.25,,,9.2,N1,Ha Tinh
HT1210906,,5.0,8.75,,,,9.25,10.0,7.0,,,6.4,N1,Ha Tinh
HT1216248,,4.8,8.75,,,,10.0,8.5,8.75,,,6.4,N1,Ha Tinh
HT1208688,,7.4,8.75,,,,3.0,6.75,5.75,,,9.4,N1,Ha Tinh
HT1213529,,8.4,8.75,,,,8.0,8.5,9.25,,,8.0,N1,Ha Tinh
HT1212549,,,8.75,,,,9.0,9.0,,,,,,Ha Tinh
HT1216450,,7.4,8.75,,,,2.5,7.0,7.0,,,6.6,N1,Ha Tinh
HT1214581,,8.2,8.75,,,,4.75,6.0,7.75,,,7.0,N1,Ha Tinh
HT1209716,,3.0,8.75,,,,3.75,6.5,7.25,,,2.4,N1,Ha Tinh
HT1212867,,,8.75,,,,9.0,8.5,,,,,,Ha Tinh
HT1216368,,5.6,8.75,,,,8.5,7.0,7.75,,,5.0,N1,Ha Tinh
HT1208969,,5.8,8.5,,,,8.25,9.25,8.5,,,3.4,N1,Ha Tinh
HT1213433,,3.8,8.5,,,,9.5,9.5,7.75,,,5.6,N1,Ha Tinh
HT1212160,,6.2,8.5,,,,7.0,7.75,8.75,,,4.4,N1,Ha Tinh
HT1216631,,8.0,8.5,,,,3.25,6.75,8.25,,,5.4,N1,Ha Tinh
HT1215343,,4.0,8.5,,,,7.0,7.25,8.0,,,3.0,N1,Ha Tinh
HT1216101,,8.6,8.5,,,,5.25,6.0,6.25,,,8.6,N1,Ha Tinh
HT1211871,,8.6,8.5,,,,4.5,6.0,8.5,,,9.0,N1,Ha Tinh
HT1213524,,7.8,8.5,,,,5.0,5.25,8.25,,,6.4,N1,Ha Tinh
HT1212423,,7.8,8.5,7.25,4.0,4.0,,,,,,9.2,N1,Ha Tinh
HT1210436,,7.4,8.5,,,,4.25,7.0,8.25,,,6.6,N1,Ha Tinh
HT1210761,,8.4,8.5,,,,6.0,8.25,9.0,,,9.2,N1,Ha Tinh
HT1210120,,8.8,8.5,,,,6.75,9.25,8.0,,,9.6,N1,Ha Tinh
HT1215935,,8.4,8.5,,,,6.25,7.0,7.0,,,8.0,N1,Ha Tinh
HT1210004,,8.8,8.5,,,,9.25,5.5,5.25,,,3.6,N1,Ha Tinh
HT1210591,,6.0,8.5,,,,6.0,5.75,8.75,,,5.6,N1,Ha Tinh
HT1213623,,8.0,8.5,7.25,4.25,3.0,,,,,,8.8,N1,Ha Tinh
HT1210028,,8.8,8.5,,,,6.0,8.0,8.75,,,9.4,N1,Ha Tinh
HT1210506,,7.8,8.5,,,,5.5,6.75,6.75,,,8.0,N1,Ha Tinh
HT1211972,,7.8,8.5,,,,5.25,7.5,8.5,,,7.6,N1,Ha Tinh
HT1212848,,6.8,8.5,,,,5.75,8.0,7.75,,,8.2,N1,Ha Tinh
HT1212131,,5.6,8.5,,,,5.75,8.0,8.75,,,4.6,N1,Ha Tinh
HT1209387,,7.6,8.5,,,,6.0,8.75,8.25,,,7.4,N1,Ha Tinh
HT1212312,,7.4,8.5,,,,6.0,7.5,9.0,,,7.8,N1,Ha Tinh
HT1214806,,7.2,8.5,,,,7.25,7.75,8.75,,,5.4,N1,Ha Tinh
HT1214781,,6.6,8.5,,,,4.0,8.0,8.75,,,3.6,N1,Ha Tinh
HT1213584,,8.6,8.5,,,,4.5,6.75,8.0,,,8.4,N1,Ha Tinh
HT1214768,,7.4,8.5,,,,9.25,9.5,7.5,,,5.0,N1,Ha Tinh
HT1213429,,7.2,8.5,5.75,5.75,5.0,,,,,,6.2,N1,Ha Tinh
HT1212567,,4.8,8.5,,,,5.75,7.75,8.25,,,2.4,N1,Ha Tinh
